Participant_ID,Dates,Distance
p11,2020-07-31,-13.898946073541
p11,2020-08-01,-16.509755110663093
p11,2020-08-02,-14.518378427953797
p11,2020-08-03,-17.815258728139277
p11,2020-08-04,-17.596216528379312
p11,2020-08-05,-18.740852325771932
p11,2020-08-06,-18.804093261771243
p11,2020-08-07,-14.641199891646302
p11,2020-08-08,-17.252008928770607
p11,2020-08-09,-15.260632246067228
p11,2020-08-10,-18.55751254625389
p11,2020-08-11,-18.338470346490322
p11,2020-08-12,-19.483106143877016
p11,2020-08-13,-19.546347079887934
p11,2020-08-14,-15.383453709762843
p11,2020-08-15,-17.994262746879414
p11,2020-08-16,-16.00288606417216
p11,2020-08-17,-19.299766364351893
p11,2020-08-18,-19.080724164595935
p11,2020-08-19,-20.225359961982097
p11,2020-08-20,-20.288600897996044
p11,2020-08-21,-16.125707527873562
p11,2020-08-22,-18.73651656498693
p11,2020-08-23,-16.745139882281343
p11,2020-08-24,-20.04202018246318
p11,2020-08-25,-19.822977982696237
p11,2020-08-26,-20.96761378008718
p11,2020-08-27,-21.030854716095046
p11,2020-08-28,-16.867961345973452
p11,2020-08-29,-19.47877038309278
p11,2020-08-30,-17.487393700390523
p11,2020-08-31,-20.784274000569482
p11,2020-09-01,-20.56523180081796
p11,2020-09-02,-21.709867598203264
p11,2020-09-03,-21.773108534212266
p11,2020-09-04,-17.61021516408417
p11,2020-09-05,-20.22102420120094
p11,2020-09-06,-18.229647518499707
p11,2020-09-07,-21.52652781868409
p11,2020-09-08,-21.307485618918264
p11,2020-09-09,-22.452121416308383
p11,2020-09-10,-22.515362352319844
p11,2020-09-11,-18.35246898218947
p11,2020-09-12,-20.963278019309097
p11,2020-09-13,-18.97190133660464
p11,2020-09-14,-22.268781636778776
p11,2020-09-15,-22.04973943701857
p11,2020-09-16,-23.19437523441347
p11,2020-09-17,-23.25761617042795
p11,2020-09-18,-19.09472280029478
p11,2020-09-19,-21.70553183741661
p11,2020-09-20,-19.71415515471465
p11,2020-09-21,-23.011035454893385
p11,2020-09-22,-22.791993255140284
p11,2020-09-23,-23.93662905251855
p11,2020-09-24,-23.999869988526953
p11,2020-09-25,-19.836976618405906
