Participant_ID,Dates,Minutes_Asleep
p10,2020-08-04,587.7798764291942
p10,2020-08-05,587.9057273133153
p10,2020-08-06,599.8972650697388
p10,2020-08-07,549.8225518324168
p10,2020-08-08,623.8429884572006
p10,2020-08-09,640.1606768978047
p10,2020-08-10,531.7953372199793
p10,2020-08-11,593.8684692902634
p10,2020-08-12,593.9943201743529
p10,2020-08-13,605.9858579309191
p10,2020-08-14,555.9111446931764
p10,2020-08-15,629.9315813180178
p10,2020-08-16,646.249269758642
p10,2020-08-17,537.883930080819
p10,2020-08-18,599.9570621510795
p10,2020-08-19,600.0829130353906
p10,2020-08-20,612.0744507918616
p10,2020-08-21,561.9997375540762
p10,2020-08-22,636.0201741792305
p10,2020-08-23,652.3378626196519
p10,2020-08-24,543.9725229420866
p10,2020-08-25,606.0456550121163
p10,2020-08-26,606.1715058964281
p10,2020-08-27,618.1630436529366
p10,2020-08-28,568.0883304153425
p10,2020-08-29,642.1087670400027
p10,2020-08-30,658.4264554806623
p10,2020-08-31,550.0611158030404
p10,2020-09-01,612.1342478732182
p10,2020-09-02,612.2600987574102
p10,2020-09-03,624.2516365137468
p10,2020-09-04,574.1769232762424
p10,2020-09-05,648.1973599010176
p10,2020-09-06,664.5150483416722
p10,2020-09-07,556.149708664108
p10,2020-09-08,618.222840734255
p10,2020-09-09,618.3486916183979
p10,2020-09-10,630.3402293750595
p10,2020-09-11,580.2655161373256
p10,2020-09-12,654.2859527620327
p10,2020-09-13,670.6036412025094
p10,2020-09-14,562.2383015251474
p10,2020-09-15,624.3114335952916
p10,2020-09-16,624.4372844794354
p10,2020-09-17,636.4288222360021
p10,2020-09-18,586.3541089984087
p10,2020-09-19,660.3745456232455
p10,2020-09-20,676.6922340639413
p10,2020-09-21,568.3268943862151
p10,2020-09-22,630.4000264563936
p10,2020-09-23,630.5258773404731
p10,2020-09-24,642.5174150970773
p10,2020-09-25,592.4427018593515
p10,2020-09-26,666.4631384844581
p10,2020-09-27,682.7808269247784
p10,2020-09-28,574.4154872471688
p10,2020-09-29,636.4886193174303
p10,2020-09-30,636.6144702014551
p10,2020-10-01,648.6060079578872
p10,2020-10-02,598.5312947202513
p10,2020-10-03,672.5517313452754
p10,2020-10-04,688.8694197857886
p10,2020-10-05,580.5040801081225
p10,2020-10-06,642.5772121782464
p10,2020-10-07,642.7030630625484
p10,2020-10-08,654.6946008189625
p10,2020-10-09,604.6198875815177
p10,2020-10-10,678.6403242064881
p10,2020-10-11,694.9580126470474
p10,2020-10-12,586.592672969076
p10,2020-10-13,648.6658050392831
p10,2020-10-14,648.7916559234804
p10,2020-10-15,660.783193679905
p10,2020-10-16,610.7084804424175
p10,2020-10-17,684.7289170672602
p10,2020-10-18,701.0466055080575
p10,2020-10-19,592.6812658301438
p10,2020-10-20,654.7543979003851
p10,2020-10-21,654.8802487844628
p10,2020-10-22,666.8717865410854
p10,2020-10-23,616.7970733035006
p10,2020-10-24,690.8175099282753
p10,2020-10-25,707.1351983688946
p10,2020-10-26,598.7698586909834
p10,2020-10-27,660.8429907614218
p10,2020-10-28,660.9688416455558
p10,2020-10-29,672.9603794020279
p10,2020-10-30,622.8856661644004
p10,2020-10-31,696.9061027892902
p10,2020-11-01,713.2237912297317
p10,2020-11-02,604.858451552251
p10,2020-11-03,666.9315836224911
p10,2020-11-04,667.0574345065378
p10,2020-11-05,679.048972263103
p10,2020-11-06,628.9742590256668
p10,2020-11-07,702.9946956502603
p10,2020-11-08,719.312384090915
p10,2020-11-09,610.9470444132047
p10,2020-11-10,673.0201764833071
p10,2020-11-11,673.1460273675755
p10,2020-11-12,685.1375651239131
p10,2020-11-13,635.0628518864264
p10,2020-11-14,709.0832885110774
p10,2020-11-15,725.400976951752
p10,2020-11-16,617.0356372742724
p10,2020-11-17,679.1087693443764
p10,2020-11-18,679.2346202285077
p10,2020-11-19,691.2261579849882
p10,2020-11-20,641.1514447475093
p10,2020-11-21,715.17188137229
p10,2020-11-22,731.4895698127622
p10,2020-11-23,623.1242301351119
p10,2020-11-24,685.1973622054132
p10,2020-11-25,685.3232130896009
p10,2020-11-26,697.3147508460632
p10,2020-11-27,647.2400376085926
p10,2020-11-28,721.2604742333052
p10,2020-11-29,737.5781626740211
p10,2020-11-30,629.2128229961797
p10,2020-12-01,691.285955066515
p10,2020-12-02,691.4118059505829
p10,2020-12-03,703.4033437068733
p10,2020-12-04,653.3286304695354
p10,2020-12-05,727.3490670945179
p10,2020-12-06,743.6667555350311
p10,2020-12-07,635.3014158574473
p10,2020-12-08,697.3745479275518
p10,2020-12-09,697.5003988116205
p10,2020-12-10,709.4919365681861
p10,2020-12-11,659.4172233304353
p10,2020-12-12,733.4376599553351
p10,2020-12-13,749.7553483958683
p10,2020-12-14,641.3900087182869
p10,2020-12-15,703.4631407883677
p10,2020-12-16,703.588991672658
p10,2020-12-17,715.5805294291288
p10,2020-12-18,665.5058161917015
p10,2020-12-19,739.5262528165479
p10,2020-12-20,755.8439412570515
p10,2020-12-21,647.4786015793546
p10,2020-12-22,709.5517336494046
p10,2020-12-23,709.6775845336957
p10,2020-12-24,721.6691222902039
p10,2020-12-25,671.5944090526013
p10,2020-12-26,745.61484567732
p10,2020-12-27,761.9325341178885
p10,2020-12-28,653.5671944403082
p10,2020-12-29,715.6403265105064
p10,2020-12-30,715.7661773946778
p10,2020-12-31,727.7577151512517
p10,2021-01-01,677.6830019135012
p10,2021-01-02,751.7034385383351
p10,2021-01-03,768.0211269788988
p10,2021-01-04,659.655787301262
p10,2021-01-05,721.7289193715433
p10,2021-01-06,721.8547702557211
p10,2021-01-07,733.8463080123267
p10,2021-01-08,683.7715947745843
p10,2021-01-09,757.79203139935
p10,2021-01-10,774.1097198399845
p10,2021-01-11,665.7443801624155
p10,2021-01-12,727.8175122325798
p10,2021-01-13,727.9433631167032
p10,2021-01-14,739.9349008732694
p10,2021-01-15,689.8601876356677
p10,2021-01-16,763.8806242605627
p10,2021-01-17,780.1983127011678
p10,2021-01-18,671.8329730234832
p10,2021-01-19,733.9061050936818
p10,2021-01-20,734.0319559777407
p10,2021-01-21,746.0234937342119
p10,2021-01-22,695.9487804966102
p10,2021-01-23,769.9692171213799
p10,2021-01-24,786.2869055620047
p10,2021-01-25,677.9215658844367
p10,2021-01-26,739.9946979547186
p10,2021-01-27,740.120548838673
p10,2021-01-28,752.1120865951544
p10,2021-01-29,702.0373733575101
p10,2021-01-30,776.0578099825926
p10,2021-01-31,792.3754984230151
p10,2021-02-01,684.0101587453905
p10,2021-02-02,746.0832908155346
p10,2021-02-03,746.2091416997661
p10,2021-02-04,758.2006794562295
p10,2021-02-05,708.1259662187766
p10,2021-02-06,782.1464028435626
p10,2021-02-07,798.4640912842739
p10,2021-02-08,690.0987516063441
p10,2021-02-09,752.171883676604
p10,2021-02-10,752.2977345607482
p10,2021-02-11,764.2892723170397
p10,2021-02-12,714.2145590796764
p10,2021-02-13,788.2349957045776
p10,2021-02-14,804.5526841452839
p10,2021-02-15,696.1873444674118
p10,2021-02-16,758.2604765376732
p10,2021-02-17,758.3863274217301
p10,2021-02-18,770.3778651783524
p10,2021-02-19,720.3031519407594
p10,2021-02-20,794.3235885655927
p10,2021-02-21,810.6412770061211
p10,2021-02-22,702.2759373282514
p10,2021-02-23,764.3490693984568
p10,2021-02-24,764.4749202828234
p10,2021-02-25,776.466458039295
p10,2021-02-26,726.3917448018426
p10,2021-02-27,800.4121814266075
p11,2020-04-02,439.8564202810245
p11,2020-04-03,459.59015100392224
p11,2020-04-04,466.9926067245966
p11,2020-04-05,446.2809633312356
p11,2020-04-06,427.7361752311582
p11,2020-04-07,477.1153870181498
p11,2020-04-08,419.15187536761965
p11,2020-04-09,442.469120921815
p11,2020-04-10,462.2028516448896
p11,2020-04-11,469.60530736546895
p11,2020-04-12,448.89366397214724
p11,2020-04-13,430.3488758720232
p11,2020-04-14,479.7280876589433
p11,2020-04-15,421.76457600840104
p11,2020-04-16,445.08182156250865
p11,2020-04-17,464.81555228561416
p11,2020-04-18,472.218008006086
p11,2020-04-19,451.50636461284165
p11,2020-04-20,432.96157651282
p11,2020-04-21,482.3407882997556
p11,2020-04-22,424.37727664913956
p11,2020-04-23,447.69452220329924
p11,2020-04-24,467.4282529263387
p11,2020-04-25,474.8307086469583
p11,2020-04-26,454.11906525364464
p11,2020-04-27,435.5742771535142
p11,2020-04-28,484.95348894053507
p11,2020-04-29,426.9899772899637
p11,2020-04-30,450.30722284418084
p11,2020-05-01,470.0409535671704
p11,2020-05-02,477.44340928781287
p11,2020-05-03,456.7317658944477
p11,2020-05-04,438.18697779431096
p11,2020-05-05,487.56618958134254
p11,2020-05-06,429.6026779307022
p11,2020-05-07,452.9199234849714
p11,2020-05-08,472.653654207895
p11,2020-05-09,480.0561099286852
p11,2020-05-10,459.34446653525066
p11,2020-05-11,440.79967843517585
p11,2020-05-12,490.17889022212194
p11,2020-05-13,432.2153785716052
p11,2020-05-14,455.5326241257619
p11,2020-05-15,475.2663548487409
p11,2020-05-16,482.66881056930214
p11,2020-05-17,461.957167175945
p11,2020-05-18,443.41237907580194
p11,2020-05-19,492.79159086290133
p11,2020-05-20,434.8280792123865
p11,2020-05-21,458.1453247665524
p11,2020-05-22,477.87905548958685
p11,2020-05-23,485.28151121017453
p11,2020-05-24,464.56986781683287
p11,2020-05-25,446.0250797166668
p11,2020-05-26,495.40429150369476
p11,2020-05-27,437.44077985316784
p11,2020-05-28,460.7580254073372
p11,2020-05-29,480.4917561302971
p11,2020-05-30,487.89421185104686
p11,2020-05-31,467.18256845763585
p11,2020-06-01,448.63778035746367
p11,2020-06-02,498.01699214448826
p11,2020-06-03,440.05348049390636
p11,2020-06-04,463.3707260480366
p11,2020-06-05,483.1044567710216
p11,2020-06-06,490.5069124916638
p11,2020-06-07,469.7952690984389
p11,2020-06-08,451.25048099826046
p11,2020-06-09,500.62969278530056
p11,2020-06-10,442.6661811347305
p11,2020-06-11,465.98342668891826
p11,2020-06-12,485.7171574118677
p11,2020-06-13,493.1196131325362
p11,2020-06-14,472.4079697392181
p11,2020-06-15,453.8631816390573
p11,2020-06-16,503.24239342608
p11,2020-06-17,445.27888177546913
p11,2020-06-18,468.5961273297088
p11,2020-06-19,488.32985805271363
p11,2020-06-20,495.73231377339073
p11,2020-06-21,475.0206703801298
p11,2020-06-22,456.47588227992225
p11,2020-06-23,505.8550940668875
p11,2020-06-24,447.8915824162077
p11,2020-06-25,471.2088279704024
p11,2020-06-26,490.94255869355953
p11,2020-06-27,498.34501441413545
p11,2020-06-28,477.6333710208241
p11,2020-06-29,459.0885829207191
p11,2020-06-30,508.4677947076669
p11,2020-07-01,450.5042830571106
p11,2020-07-02,473.82152861119295
p11,2020-07-03,493.555259334284
p11,2020-07-04,500.95771505488005
p11,2020-07-05,480.24607166151844
p11,2020-07-06,461.7012835614132
p11,2020-07-07,511.0804953484604
p11,2020-07-08,453.11698369789195
p11,2020-07-09,476.4342292520746
p11,2020-07-10,496.1679599752514
p11,2020-07-11,503.5704156957524
p11,2020-07-12,482.8587723024301
